review_text,summary,cleaned_review,tokenized_review
  Great product and price!,  Five Stars,  great product and price,   great product price
  Waaay too small. Will use for futur children!,  Oops!,  waaay too small will use for futur children,   waaay small use futur children
  Stays vibrant after many washes,  Great,  stays vibrant after many washes,   stays vibrant washes
  Stays vibrant after many washes,  Good,  stays vibrant after many washes,   stays vibrant washes
  My son really likes the pink. Ones which I was nervous about,  Great,  my son really likes the pink ones which i was nervous about,   son likes pink ones nervous
  Waaay too small. Will use for future child.,  Oops!,  waaay too small will use for future child,   waaay small use future child
 reviewerName: Denise A. Conte, reviewText: Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist., reviewername denise a conte,  reviewername denise conte
 reviewerName: Cognizant Consumer, reviewText: This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, reviewername cognizant consumer,  reviewername cognizant consumer
  Waaaay too BIG,  One Star,  waaaay too big,   waaaay big
  Comfortable,  Five Stars,  comfortable,   comfortable
 though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, though the sizes tend to be bigger based on mens size i think  there wasnt a size chart to refer to when i was ordering,  sizes tend bigger based mens size think   nt size chart refer ordering
  Good product for the price.  Used very day and no problem.,  Five Stars,  good product for the price  used very day and no problem,   good product price   day problem
 reviewerName: Fhteacher, reviewText: Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price., reviewername fhteacher,  reviewername fhteacher
  Excellent value.  Comfortable.,  Excellent Product,  excellent value  comfortable,   excellent value   comfortable
  Typical Hanes quality. Good weight, sized just right,  typical hanes quality good weight,   typical hanes quality good weight
  The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.\n\nThat being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.,  Don't sweat the pants,  the waist string broke first time trying them on luckily i dont really need the wast string but it would be nice if it did not breaknnthat being said the pants fit as expected and are comfortable probably shop around next time i make a sweatpant purchase,   waist string broke time trying luckily nt need wast string nice breaknnthat said pants fit expected comfortable probably shop time sweatpant purchase
  Fit perfectly. I bought dark grey, and they didn't fade,  fit perfectly i bought dark grey,   fit perfectly bought dark grey
  They fit great. But they fade bad,  Three Stars,  they fit great but they fade bad,   fit great fade bad
  I only give four stars because the pants have no pockets.,  Four Stars,  i only give four stars because the pants have no pockets,   stars pants pockets
  Average product.  As described.,  Three Stars,  average product  as described,   average product   described
  comfy fit,  Five Stars,  comfy fit,   comfy fit
  Nice pants but too small for a medium. Return it.,  Returned also,  nice pants but too small for a medium return it,   nice pants small medium return
  Nice pants but too small for a medium. Returned it.,  Returned,  nice pants but too small for a medium returned it,   nice pants small medium returned
  Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!,  very comfy if they had pockets,   comfy pockets
 my husband looked like he was wearing blown up clown pants.,  Was terribly disappointed, my husband looked like he was wearing blown up clown pants,  husband looked like wearing blown clown pants
  As described.,  Three Stars,  as described,   described
  Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.,  love em,   love em
  Should have listened to other reviews. The elastics does not hold up.,  One Star,  should have listened to other reviews the elastics does not hold up,   listened reviews elastics hold
  Constantly rolls down,  One Star,  constantly rolls down,   constantly rolls
  Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,  Great!!! Very high!,  superrrr thigh high im  and it easily reaches  up my thigh,   superrrr thigh high m   easily reaches   thigh
  I just wish they would not roll down.,  Cute but will roll,  i just wish they would not roll down,   wish roll
  Sadly, not a true red. It's definitely orange,  sadly,   sadly
  Well made, soft,  well made,  
 although the quality is fine.,  Huh, although the quality is fine,  quality fine
 particularly since I lose so many\nreading glasses.  some of the screws do require constant\ntightening.,  loose screws, particularly since i lose so manynreading glasses  some of the screws do require constantntightening,  particularly lose manynreading glasses   screws require constantntightening
 I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!,  Good Value, i find this style more comfortable  these glasses are very nicecheaper than walmart,  find style comfortable   glasses nicecheaper walmart
 reviewerName: Amazon Customer, reviewText: Good light weight shoe...had to add insole for more support., reviewername amazon customer,  reviewername amazon customer
  I love my tennis shoes,  Five Stars,  i love my tennis shoes,   love tennis shoes
 reviewerName: Micki from FL, reviewText: This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, reviewername micki from fl,  reviewername micki fl
  Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.,  love it super comfortable and nice got more than i expected,   love super comfortable nice got expected
  Excelente,  Five Stars,  excelente,   excelente
  These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again,  these shoes are poorly constructed and i dont expect them to last more that one summer  would not recommend,   shoes poorly constructed nt expect summer   recommend
  For the price I spent on the pair of shoes, I'd say it's as good as expected.\nIt's comfortable and doesn't hurt my feet when I run.,  for the price i spent on the pair of shoes,   price spent pair shoes
 reviewerName: Elizabeth Gravesen, reviewText: I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide., reviewername elizabeth gravesen,  reviewername elizabeth gravesen
  Put them on and walked 3 hours with no problem! Love them! So light feeling,  Love them! So light feeling,  put them on and walked  hours with no problem love them so light feeling,   walked   hours problem love light feeling
  Love these shoes!\nSo stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!,  love these shoesnso stylish and comfortable just got back from a trip to nyc,   love shoesnso stylish comfortable got trip nyc
  This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.,  this shoe is just ok its not as comfortable as i was expecting,   shoe ok comfortable expecting
 reviewerName: Lenci, reviewText: Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money., reviewername lenci,  reviewername lenci
  The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,  The color pattern and fit is what I liked the most what I liked the least is that ...,  the color pattern and fit is what i liked the most what i liked the least is that they are not easy to clean and stains do not come out very easy or at all,   color pattern fit liked liked easy clean stains come easy
  love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster,  love these shoes workout in them  times a week at the gym i do treadmill,   love shoes workout   times week gym treadmill
  Great shoe. I've had Nike's before and have always been pleased with the comfort, performance,  great shoe ive had nikes before and have always been pleased with the comfort,   great shoe ve nikes pleased comfort
  The material is real then hope they don't fall apart . to expensive for what you get.,  Three Stars,  the material is real then hope they dont fall apart  to expensive for what you get,   material real hope nt fall apart   expensive
  Nice,  Three Stars,  nice,   nice
  Gracias,  Five Stars,  gracias,   gracias
